CoolingRate, Energy, Time(s)
0.9999,138,15860.6
0.9909,703.55,171.55
0.9819,969.35,81.8
0.9729,1117.3,51.95
0.9639,1304.8,40.65
0.9549,10335.6,30.35
0.9459,13431,26.25
0.9369,24493.4,24.45
0.9279,29442.8,21.05
0.9189,36540.7,17.6
0.9099,36595.1,14.55
0.9009,49634,13.55
0.8919,48577.3,11.1
0.8829,50655.8,11.05
0.8739,63670.6,10.6
0.8649,76672.8,8.95
0.8559,65712.4,8.5
0.8469,86659.9,8.7
0.8379,79755.4,8.35
0.8289,82653.1,7.5
0.8199,73717.8,7.75
0.8109,84134.5,6.95
0.8019,82712.3,5.45
0.7929,86306.6,5.2
0.7839,85230,6.6
0.7749,100134,5.3
0.7659,94322.6,4.75
0.7569,95692.9,4.85
0.7479,99154.1,5.05
0.7389,102685,5.4
0.7299,87272.5,4.9
0.7209,118795,3.7
0.7119,99279.5,3.35
0.7029,106352,3
0.6939,105755,3.9
0.6849,110331,4
0.6759,111402,3.75
0.6669,132106,3.45
0.6579,118266,3.2
0.6489,100274,3
0.6399,113356,2.7
0.6309,105757,3.25
0.6219,117600,2.3
0.6129,116805,3.6
0.6039,92195.8,2.05
0.5949,120650,2.45
0.5859,128190,2.15
0.5769,130417,2.75
0.5679,126769,2.5
0.5589,117782,2
0.5499,121749,2
0.5409,170242,2
0.5319,129796,2
0.5229,106279,2.45
0.5139,108391,2.3
0.5049,121824,1.55
0.4959,96867.2,1.25
0.4869,136869,1.55
0.4779,135383,1.05
0.4689,153399,1
0.4599,111418,1.2
0.4509,154849,2
0.4419,143387,1.7
0.4329,137271,1
0.4239,160796,1
0.4149,107158,1
0.4059,119482,1.05
0.3969,130807,1
0.3879,119314,1
0.3789,144962,1
0.3699,131055,1
0.3609,140878,1
0.3519,128787,1
0.3429,120985,1
0.3339,101763,1
0.3249,138814,1
0.3159,119484,1
0.3069,122720,1
0.2979,125881,1
0.2889,168812,1
0.2799,137335,1
0.2709,156940,1
0.2619,102007,1
0.2529,156362,0.25
0.2439,152888,0.75
0.2349,141785,1
0.2259,122824,0.45
0.2169,122790,0.35
0.2079,143507,0.15
0.1989,183590,0
0.1899,156665,0
0.1809,169314,0.15
0.1719,169917,0.1
0.1629,123049,0.05
0.1539,150301,0.2
0.1449,174298,0.55
0.1359,144853,0.6
0.1269,137908,0.1
0.1179,136439,0.05
0.1089,146580,0.1
